ESTU_TIPODOCUMENTO;CORRECTO;ESTU_GENERO;PERIODO;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_MCPIO_RESIDE;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_MCPIO_UBICACION;COLE_DEPTO_UBICACION;PUNT_GLOBAL;edad
CC;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Primaria incompleta;Estrato 2;3 a 4;Tres;Si;Si;Si;No;No;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;30 minutos o menos;0;No;INSTITUCIÃ“N EDUCATIVA TÃ‰CNICA COMERCIAL HERNANDO NAVIA VARON;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCIÃ“N EDUCATIVA TÃ‰CNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;252;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;Uno;Si;Si;Si;Si;No;No;No;No;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Nunca o rara vez comemos eso;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;INSTITUCIÃ“N EDUCATIVA TÃ‰CNICA COMERCIAL HERNANDO NAVIA VARON;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCIÃ“N EDUCATIVA TÃ‰CNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL;S;URBANO;TARDE;CALI;VALLE;217;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Tecnica o Tecnologica incompleta;Estrato 2;1 a 2;Dos;Si;Si;No;No;Si;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Peor;Entre 1 y 2 horas;Mas de 3 horas;0;No;INSTITUCIÃ“N EDUCATIVA TÃ‰CNICA COMERCIAL HERNANDO NAVIA VARON;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCIÃ“N EDUCATIVA TÃ‰CNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;293;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Educacion Profesional incompleta;Estrato 2;3 a 4;Dos;Si;Si;Si;No;Si;No;No;Si;11 A 25 LIBROS;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD;MIXTO;NO OFICIAL;A;N;TECNICO;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD - SEDE PRINCIPAL;S;URBANO;COMPLETA;CALI;VALLE;260;15
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CAICEDONIA;Primaria incompleta;Primaria incompleta;Estrato 1;3 a 4;Tres;No;Si;Si;No;Si;No;Si;No;0 A 10 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Mas de 3 horas;0;No;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD;MIXTO;NO OFICIAL;A;N;TECNICO;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD - SEDE PRINCIPAL;S;URBANO;COMPLETA;CALI;VALLE;237;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;Dos;Si;Si;Si;No;No;No;Si;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;No sabe;Es vendedor o trabaja en atencion al publico ;Peor;30 minutos o menos;Entre 1 y 3 horas;0;No;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD;MIXTO;NO OFICIAL;A;N;TECNICO;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD - SEDE PRINCIPAL;S;URBANO;COMPLETA;CALI;VALLE;343;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;Cuatro;Si;Si;Si;Si;Si;No;No;No;0 A 10 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD;MIXTO;NO OFICIAL;A;N;TECNICO;CORPORACIÃ“N EDUCATIVA POPULAR-LICEO DE LA AMISTAD - SEDE PRINCIPAL;S;URBANO;COMPLETA;CALI;VALLE;290;14
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;No sabe;No sabe;Sin Estrato;5 a 6;Dos;No;No;No;No;No;No;No;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;Todos o casi todos los dias;Todos o casi todos los dias;No aplica;No aplica;Igual;No leo por entretenimiento;No Navega Internet;Menos de 10 horas;No;COLEGIO MAYOR DEL NORTE 2 - PIZAMOS;MIXTO;NO OFICIAL;A;N;TECNICO/ACADEMICO;COLEGIO MAYOR DEL NORTE 2 - PIZAMOS;S;URBANO;MANANA;CALI;VALLE;204;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Primaria incompleta;Estrato 2;5 a 6;Cuatro;Si;Si;Si;Si;Si;No;No;Si;0 A 10 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;Todos o casi todos los dias;Pensionado;No sabe;Igual;30 minutos o menos;Entre 30 y 60 minutos;0;No;COLEGIO MAYOR DEL NORTE 2 - PIZAMOS;MIXTO;NO OFICIAL;A;N;TECNICO/ACADEMICO;COLEGIO MAYOR DEL NORTE 2 - PIZAMOS;S;URBANO;MANANA;CALI;VALLE;228;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;No sabe;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;Cinco;Si;Si;Si;Si;No;No;No;No;26 A 100 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;3 a 5 veces por semana;No sabe;No sabe;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;308;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional completa;Estrato 3;5 a 6;Cuatro;Si;Si;Si;No;Si;No;No;Si;26 A 100 LIBROS;3 a 5 veces por semana;1 o 2 veces por semana;Todos o casi todos los dias;No aplica;No aplica;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;291;15
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Tecnica o Tecnologa completa;Estrato 4;5 a 6;Cinco;Si;Si;Si;Si;Si;Si;Si;Si;0 A 10 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;Entre 1 y 2 horas;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;297;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Tecnica o Tecnologica incompleta;Estrato 3;5 a 6;Cinco;No;Si;Si;No;Si;No;No;No;26 A 100 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;294;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica incompleta;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;Cuatro;Si;Si;Si;Si;Si;No;Si;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;350;15
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 2;1 a 2;Dos;No;Si;No;No;No;No;No;No;11 A 25 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No aplica;No aplica;Igual;30 minutos o menos;30 minutos o menos;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;252;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;Tres;Si;Si;Si;Si;Si;No;Si;Si;26 A 100 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;264;17
CC;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Educacion Profesional incompleta;Postgrado;Estrato 4;1 a 2;Dos;Si;Si;Si;Si;Si;No;No;No;26 A 100 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;No sabe;Pensionado;Igual;No leo por entretenimiento;Mas de 3 horas;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;265;18
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Tecnica o Tecnologa completa;Estrato 4;5 a 6;Tres;Si;Si;Si;Si;Si;Si;Si;Si;11 A 25 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;3 a 5 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 1 y 3 horas;Menos de 10 horas;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;308;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional incompleta;Estrato 3;3 a 4;Tres;Si;Si;Si;No;No;No;No;No;MAS DE 100 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los dias;No aplica;No aplica;Peor;Entre 30 y 60 minutos;Mas de 3 horas;0;No;INSTITUCION EDUCATIVA  LICEO DEPARTAMENTAL;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL;S;URBANO;MANANA;CALI;VALLE;353;15
CC;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Primaria incompleta;Estrato 1;3 a 4;Tres;No;No;No;No;No;No;No;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;Nunca o rara vez comemos eso;No sabe;No sabe;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;COLEGIO LA ASUNCION;MIXTO;NO OFICIAL;A;N;ACADEMICO;COLEGIO LA ASUNCION;S;URBANO;COMPLETA;CALI;VALLE;231;18
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Ninguno;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;Dos;Si;Si;Si;No;Si;No;Si;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;No sabe;No sabe;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;COLEGIO LA ASUNCION;MIXTO;NO OFICIAL;A;N;ACADEMICO;COLEGIO LA ASUNCION;S;URBANO;COMPLETA;CALI;VALLE;240;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Primaria completa;Estrato 3;7 a 8;Cuatro;Si;Si;Si;Si;Si;No;Si;No;0 A 10 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;No aplica;No aplica;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;S;URBANO;MANANA;CALI;VALLE;255;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;Dos;Si;Si;Si;No;Si;No;No;No;0 A 10 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;No sabe;Es vendedor o trabaja en atencion al publico ;Peor;30 minutos o menos;Entre 30 y 60 minutos;0;No;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;S;URBANO;MANANA;CALI;VALLE;305;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;Tres;Si;Si;Si;Si;Si;No;Si;Si;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Mas de 3 horas;0;No;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;S;URBANO;MANANA;CALI;VALLE;271;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Tecnica o Tecnologa completa;Estrato 3;5 a 6;Tres;Si;No;Si;Si;Si;No;No;Si;26 A 100 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA JOSE MANUEL SAAVEDRA GALINDO;S;URBANO;MANANA;CALI;VALLE;291;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;Tres;Si;Si;Si;Si;Si;Si;Si;No;0 A 10 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;30 minutos o menos;0;No;INSTITUCION EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;BRISAS DE LOS ALAMOS;N;URBANO;TARDE;CALI;VALLE;235;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;Cuatro;Si;Si;Si;No;Si;No;No;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No aplica;No aplica;Igual;Entre 30 y 60 minutos;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;BRISAS DE LOS ALAMOS;N;URBANO;TARDE;CALI;VALLE;218;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Tecnica o Tecnologa completa;Estrato 1;9;Tres;No;Si;Si;Si;Si;No;Si;No;11 A 25 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;No aplica;Mejor;30 minutos o menos;No Navega Internet;0;No;INSTITUCION EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;BRISAS DE LOS ALAMOS;N;URBANO;TARDE;CALI;VALLE;220;15
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 4;5 a 6;Tres;Si;Si;Si;Si;Si;Si;Si;Si;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;1 o 2 veces por semana;No aplica;No aplica;Peor;No leo por entretenimiento;Entre 1 y 3 horas;0;No;INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO;S;URBANO;MANANA;CALI;VALLE;238;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;Cinco;Si;Si;Si;Si;Si;No;Si;No;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 30 y 60 minutos;0;No;INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA GENERAL ALFREDO VASQUEZ COBO;S;URBANO;TARDE;CALI;VALLE;228;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Primaria incompleta;Estrato 2;5 a 6;Cuatro;Si;Si;Si;Si;Si;No;No;No;26 A 100 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;No aplica;No aplica;Mejor;30 minutos o menos;Entre 1 y 3 horas;0;No;LIC COMERCIAL LA MILAGROSA;MIXTO;NO OFICIAL;A;S;TECNICO/ACADEMICO;LIC COMERCIAL LA MILAGROSA;S;URBANO;NOCHE;CALI;VALLE;201;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Tecnica o Tecnologa completa;Estrato 3;3 a 4;Tres;Si;Si;Si;Si;Si;Si;Si;No;0 A 10 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Mejor;30 minutos o menos;Entre 1 y 3 horas;0;No;LIC COMERCIAL LA MILAGROSA;MIXTO;NO OFICIAL;A;S;TECNICO/ACADEMICO;LIC COMERCIAL LA MILAGROSA;S;URBANO;MANANA;CALI;VALLE;243;16
CE;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;Cuatro;Si;No;No;No;Si;No;Si;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;Nunca o rara vez comemos eso;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;LIC COMERCIAL LA MILAGROSA;MIXTO;NO OFICIAL;A;S;TECNICO/ACADEMICO;LIC COMERCIAL LA MILAGROSA;S;URBANO;NOCHE;CALI;VALLE;161;18
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Tecnica o Tecnologa completa;Estrato 2;3 a 4;Dos;Si;Si;Si;Si;Si;No;Si;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 1 y 3 horas;MÃ¡s de 30 horas;No;LIC COMERCIAL LA MILAGROSA;MIXTO;NO OFICIAL;A;S;TECNICO/ACADEMICO;LIC COMERCIAL LA MILAGROSA;S;URBANO;NOCHE;CALI;VALLE;218;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Primaria incompleta;Estrato 3;1 a 2;Dos;Si;No;No;Si;Si;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;Todos o casi todos los dias;No sabe;Es vendedor o trabaja en atencion al publico ;Igual;Entre 1 y 2 horas;Mas de 3 horas;Menos de 10 horas;No;LIC COMERCIAL LA MILAGROSA;MIXTO;NO OFICIAL;A;S;TECNICO/ACADEMICO;LIC COMERCIAL LA MILAGROSA;S;URBANO;NOCHE;CALI;VALLE;211;17
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Primaria incompleta;Estrato 2;5 a 6;Cuatro;Si;Si;No;No;Si;No;Si;No;11 A 25 LIBROS;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;No aplica;Igual;Entre 1 y 2 horas;30 minutos o menos;0;No;INSTITUTCION EDUCATIVA CIUDAD MODELO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA CIUDAD MODELO;S;URBANO;TARDE;CALI;VALLE;247;17
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Primaria incompleta;Estrato 2;7 a 8;Seis o mas;Si;No;Si;No;Si;No;No;Si;0 A 10 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;Todos o casi todos los dias;No aplica;No sabe;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;0;No;INSTITUTCION EDUCATIVA CIUDAD MODELO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;SEDE PRIMAVERA;N;URBANO;TARDE;CALI;VALLE;193;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;Dos;Si;Si;Si;Si;Si;No;Si;Si;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No sabe;Es vendedor o trabaja en atencion al publico ;Mejor;Entre 30 y 60 minutos;Mas de 3 horas;0;No;INSTITUTCION EDUCATIVA CIUDAD MODELO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA CIUDAD MODELO;S;URBANO;TARDE;CALI;VALLE;303;16
TI;COLOMBIA;M;20172;COLOMBIA;VALLE;CALI;No sabe;Educacion Profesional completa;Estrato 3;3 a 4;Dos;Si;Si;Si;Si;Si;No;Si;No;11 A 25 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;No sabe;No sabe;Peor;Entre 1 y 2 horas;Entre 1 y 3 horas;0;No;INSTITUTCION EDUCATIVA CIUDAD MODELO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA CIUDAD MODELO;S;URBANO;TARDE;CALI;VALLE;317;16
TI;COLOMBIA;F;20172;COLOMBIA;VALLE;CALI;Primaria incompleta;Primaria incompleta;Estrato 3;3 a 4;Uno;Si;No;No;No;No;No;No;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;Todos o casi todos los dias;3 a 5 veces por semana;No sabe;No sabe;Igual;Entre 30 y 60 minutos;Mas de 3 horas;0;No;INSTITUTCION EDUCATIVA CIUDAD MODELO;MIXTO;OFICIAL;A;N;TECNICO/ACADEMICO;INSTITUCION EDUCATIVA CIUDAD MODELO;S;URBANO;TARDE;CALI;VALLE;234;16
