ESTU_TIPODOCUMENTO,ESTU_GENERO,PERIODO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,PUNT_GLOBAL,edad
CC,M,20172,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional incompleta,No aplica,Estrato 5,3 a 4,Dos,No,No,No,No,No,Si,Si,Si,0 A 10 LIBROS,Todos o casi todos los dias,Nunca,1 vez por semana,No aplica,No,Igual,Entre 1 y 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO MAYOR,MASCULINO,OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,N,URBANO,MANANA,CALI,CUNDINAMARCA,342,24
CC,F,20172,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional completa,Estrato 6,5 a 6,Cuatro,No,Si,Si,No,No,Si,No,No,0 A 10 LIBROS,3 a 5 veces por semana,1 vez por semana,1 vez por semana,No sabe,Si,Peor,30 minutos o menos,Más de 3 horas,11-20,No,COLEGIO MAYOR,MIXTO,OFICIAL,B,N,ACADEMICO,SEDE SECUNDARIA,S,RURAL,TARDE,CALI,ANTIOQUIA,199,18
CC,M,20181,COLOMBIA,ANTIOQUIA,BARRANQUILLA,No aplica,No aplica,Estrato 3,7 o más,Dos,Si,Si,Si,No,No,No,No,No,MAS DE 100 LIBROS,1 vez por semana,3 a 5 veces por semana,Todos o casi todos los dias,No aplica,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,A,N,TECNICO,SEDE SECUNDARIA,N,URBANO,MANANA,BARRANQUILLA,ANTIOQUIA,328,16
CC,F,20192,COLOMBIA,ATLANTICO,MEDELLIN,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 4,7 o más,Cuatro,Si,No,No,Si,No,Si,Si,No,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,Nunca,No,No aplica,Igual,Más de 3 horas,30 minutos o menos,21-40,No,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,A,S,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,BOGOTA,VALLE,182,21
TI,M,20171,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 2,3 a 4,Cuatro,Si,No,No,Si,Si,Si,Si,Si,0 A 10 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,3 a 5 veces por semana,No,No sabe,Igual,30 minutos o menos,Entre 1 y 3 horas,1-10,Si,COLEGIO MAYOR,MIXTO,OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,S,URBANO,NOCHE,BOGOTA,CUNDINAMARCA,241,25
CE,M,20181,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,5 a 6,Dos,Si,No,Si,Si,Si,Si,Si,Si,11 A 50 LIBROS,Nunca,Nunca,Todos o casi todos los dias,No aplica,No aplica,Igual,Entre 1 y 3 horas,Más de 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,URBANO,TARDE,BARRANQUILLA,VALLE,359,20
TI,F,20191,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,No aplica,No aplica,Estrato 3,7 o más,Cuatro,No,Si,No,No,Si,Si,No,No,51 A 100 LIBROS,1 vez por semana,3 a 5 veces por semana,Todos o casi todos los dias,No sabe,No,Peor,30 minutos o menos,Más de 3 horas,11-20,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,ACADEMICO,SEDE PRINCIPAL,S,RURAL,NOCHE,BOGOTA,VALLE,176,27
TI,F,20182,COLOMBIA,ATLANTICO,BOGOTA,Educacion Profesional incompleta,No aplica,Estrato 2,5 a 6,Cinco,Si,Si,No,No,No,Si,No,No,51 A 100 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,1 vez por semana,Si,No aplica,Peor,Entre 1 y 3 horas,Entre 1 y 3 horas,0,Si,COLEGIO MAYOR,MIXTO,NO OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,N,RURAL,TARDE,BOGOTA,VALLE,350,24
TI,F,20191,COLOMBIA,VALLE,BOGOTA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 6,7 o más,Cuatro,Si,Si,No,No,Si,No,No,Si,51 A 100 LIBROS,Todos o casi todos los dias,1 vez por semana,Nunca,No sabe,No,Mejor,30 minutos o menos,Más de 3 horas,1-10,Si,COLEGIO CENTRAL,FEMENINO,OFICIAL,B,N,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,TARDE,BUCARAMANGA,ANTIOQUIA,168,25
CC,M,20182,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 4,7 o más,Dos,No,Si,No,Si,Si,Si,No,No,0 A 10 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,3 a 5 veces por semana,No,No,Igual,Entre 1 y 3 horas,Más de 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,BUCARAMANGA,VALLE,395,29
TI,M,20181,COLOMBIA,VALLE,CALI,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 6,7 o más,Cuatro,No,Si,Si,Si,Si,Si,Si,Si,11 A 50 LIBROS,1 vez por semana,Nunca,3 a 5 veces por semana,No aplica,No sabe,Peor,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,S,URBANO,TARDE,MEDELLIN,ANTIOQUIA,336,17
CC,M,20182,COLOMBIA,SANTANDER,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 5,5 a 6,Cinco,Si,Si,No,Si,Si,Si,Si,No,51 A 100 LIBROS,Todos o casi todos los dias,Nunca,Nunca,No aplica,Si,Mejor,30 minutos o menos,Entre 1 y 3 horas,21-40,Si,COLEGIO CENTRAL,MIXTO,NO OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,S,URBANO,TARDE,MEDELLIN,ATLANTICO,395,23
CC,F,20172,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional completa,Educacion Profesional completa,Estrato 2,3 a 4,Cinco,Si,Si,No,No,No,No,No,Si,0 A 10 LIBROS,Nunca,1 vez por semana,Nunca,Si,No,Igual,30 minutos o menos,Entre 1 y 3 horas,1-10,Si,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,A,N,TECNICO,SEDE SECUNDARIA,S,URBANO,NOCHE,MEDELLIN,ANTIOQUIA,344,26
CC,M,20182,COLOMBIA,VALLE,BARRANQUILLA,No aplica,Educacion Profesional incompleta,Estrato 4,7 o más,Dos,No,Si,Si,Si,No,No,Si,Si,51 A 100 LIBROS,1 vez por semana,Nunca,1 vez por semana,No aplica,No,Peor,Más de 3 horas,Entre 1 y 3 horas,0,Si,COLEGIO MAYOR,FEMENINO,NO OFICIAL,B,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,TARDE,CALI,ANTIOQUIA,267,25
CC,M,20181,COLOMBIA,SANTANDER,CALI,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 5,5 a 6,Tres,No,No,Si,No,Si,No,Si,Si,11 A 50 LIBROS,Nunca,1 vez por semana,1 vez por semana,Si,Si,Peor,Entre 1 y 3 horas,30 minutos o menos,11-20,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,B,S,ACADEMICO,SEDE PRINCIPAL,N,URBANO,NOCHE,BARRANQUILLA,ATLANTICO,280,27
CE,F,20192,COLOMBIA,SANTANDER,BUCARAMANGA,Educacion Profesional incompleta,No aplica,Estrato 4,5 a 6,Cuatro,Si,No,Si,Si,Si,No,No,No,11 A 50 LIBROS,1 vez por semana,Nunca,1 vez por semana,No,No sabe,Igual,Entre 1 y 3 horas,Más de 3 horas,1-10,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,RURAL,NOCHE,BUCARAMANGA,VALLE,382,20
CC,M,20181,COLOMBIA,SANTANDER,CALI,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 5,5 a 6,Dos,Si,No,No,Si,No,No,No,No,51 A 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,Todos o casi todos los dias,No,No aplica,Peor,Más de 3 horas,30 minutos o menos,11-20,No,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,N,ACADEMICO,SEDE PRINCIPAL,N,URBANO,TARDE,BARRANQUILLA,VALLE,337,18
TI,M,20192,COLOMBIA,VALLE,BARRANQUILLA,No aplica,Educacion Profesional completa,Estrato 1,7 o más,Tres,No,Si,Si,Si,Si,No,No,Si,11 A 50 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,3 a 5 veces por semana,No sabe,No aplica,Peor,Más de 3 horas,30 minutos o menos,0,No,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,A,N,ACADEMICO,SEDE PRINCIPAL,N,URBANO,TARDE,CALI,ANTIOQUIA,299,28
CC,F,20171,COLOMBIA,ATLANTICO,CALI,Educacion Profesional completa,Educacion Profesional completa,Estrato 1,7 o más,Tres,Si,No,No,Si,Si,No,No,Si,MAS DE 100 LIBROS,1 vez por semana,Nunca,Todos o casi todos los dias,Si,No sabe,Mejor,Más de 3 horas,Más de 3 horas,0,No,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,A,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,TARDE,BARRANQUILLA,VALLE,281,26
CC,M,20181,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional completa,No aplica,Estrato 6,5 a 6,Tres,No,Si,No,No,Si,Si,No,Si,MAS DE 100 LIBROS,3 a 5 veces por semana,Nunca,3 a 5 veces por semana,No sabe,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,0,Si,COLEGIO MAYOR,FEMENINO,NO OFICIAL,B,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,MANANA,BUCARAMANGA,VALLE,359,23
TI,M,20192,COLOMBIA,ANTIOQUIA,MEDELLIN,No aplica,Educacion Profesional completa,Estrato 2,7 o más,Dos,No,No,No,No,No,Si,Si,No,51 A 100 LIBROS,Nunca,3 a 5 veces por semana,1 vez por semana,No aplica,No,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,21-40,No,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,A,S,ACADEMICO,SEDE SECUNDARIA,N,URBANO,NOCHE,BARRANQUILLA,SANTANDER,367,17
CE,F,20181,COLOMBIA,SANTANDER,CALI,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 2,7 o más,Tres,No,No,Si,No,Si,No,Si,No,11 A 50 LIBROS,Nunca,3 a 5 veces por semana,Nunca,No sabe,No sabe,Igual,30 minutos o menos,Entre 1 y 3 horas,1-10,No,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,CALI,VALLE,342,21
TI,F,20171,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 6,5 a 6,Dos,No,Si,Si,Si,Si,Si,No,Si,0 A 10 LIBROS,1 vez por semana,1 vez por semana,1 vez por semana,No,Si,Peor,30 minutos o menos,Entre 1 y 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,N,ACADEMICO,SEDE PRINCIPAL,S,RURAL,TARDE,BUCARAMANGA,ANTIOQUIA,223,16
CC,F,20181,COLOMBIA,SANTANDER,CALI,No aplica,No aplica,Estrato 2,5 a 6,Tres,No,No,Si,No,Si,No,Si,Si,0 A 10 LIBROS,1 vez por semana,3 a 5 veces por semana,Nunca,Si,No,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,1-10,No,COLEGIO MAYOR,MASCULINO,OFICIAL,A,S,ACADEMICO,SEDE PRINCIPAL,N,URBANO,TARDE,MEDELLIN,VALLE,262,25
CC,M,20191,COLOMBIA,SANTANDER,BARRANQUILLA,No aplica,No aplica,Estrato 3,7 o más,Cuatro,No,Si,Si,No,No,Si,Si,Si,MAS DE 100 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,1 vez por semana,No aplica,No sabe,Igual,30 minutos o menos,Más de 3 horas,11-20,No,COLEGIO CENTRAL,MIXTO,OFICIAL,A,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,NOCHE,MEDELLIN,SANTANDER,299,29
CE,M,20192,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 4,7 o más,Cinco,Si,No,Si,No,No,Si,No,No,11 A 50 LIBROS,Nunca,3 a 5 veces por semana,1 vez por semana,Si,No sabe,Mejor,Más de 3 horas,Más de 3 horas,21-40,Si,COLEGIO MAYOR,MIXTO,OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,S,RURAL,TARDE,BUCARAMANGA,VALLE,257,26
TI,M,20191,COLOMBIA,SANTANDER,BOGOTA,No aplica,No aplica,Estrato 3,5 a 6,Tres,No,No,Si,Si,Si,No,No,No,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,Nunca,No aplica,No aplica,Peor,Más de 3 horas,30 minutos o menos,11-20,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,N,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,NOCHE,BARRANQUILLA,VALLE,315,24
CE,F,20182,COLOMBIA,VALLE,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional completa,Estrato 2,3 a 4,Tres,No,Si,Si,No,Si,Si,No,No,MAS DE 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,1 vez por semana,Si,Si,Igual,30 minutos o menos,Más de 3 horas,1-10,Si,COLEGIO CENTRAL,FEMENINO,OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,RURAL,TARDE,BOGOTA,VALLE,235,28
CE,M,20192,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 4,3 a 4,Dos,Si,Si,Si,Si,No,Si,No,No,51 A 100 LIBROS,1 vez por semana,1 vez por semana,Todos o casi todos los dias,No,Si,Mejor,Más de 3 horas,Entre 1 y 3 horas,1-10,Si,COLEGIO MAYOR,MIXTO,NO OFICIAL,A,S,ACADEMICO,SEDE PRINCIPAL,S,URBANO,MANANA,BOGOTA,SANTANDER,206,17
CC,F,20171,COLOMBIA,ATLANTICO,CALI,No aplica,Educacion Profesional incompleta,Estrato 4,5 a 6,Tres,No,No,Si,Si,No,No,No,No,51 A 100 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,Nunca,No sabe,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,1-10,Si,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,MANANA,BARRANQUILLA,VALLE,277,20
CE,F,20172,COLOMBIA,SANTANDER,BOGOTA,No aplica,No aplica,Estrato 6,7 o más,Cinco,Si,Si,Si,Si,Si,No,Si,Si,51 A 100 LIBROS,Todos o casi todos los dias,1 vez por semana,3 a 5 veces por semana,Si,No aplica,Mejor,Más de 3 horas,Entre 1 y 3 horas,0,No,COLEGIO MAYOR,MASCULINO,NO OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,TARDE,BOGOTA,CUNDINAMARCA,163,17
TI,M,20181,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 3,3 a 4,Dos,No,No,Si,No,No,No,No,Si,0 A 10 LIBROS,3 a 5 veces por semana,1 vez por semana,Nunca,Si,Si,Mejor,30 minutos o menos,Entre 1 y 3 horas,21-40,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,N,RURAL,TARDE,CALI,ATLANTICO,307,21
TI,F,20181,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional completa,Estrato 6,5 a 6,Cinco,Si,Si,No,Si,Si,Si,Si,Si,11 A 50 LIBROS,1 vez por semana,Todos o casi todos los dias,Todos o casi todos los dias,No sabe,No,Mejor,30 minutos o menos,30 minutos o menos,0,No,COLEGIO MAYOR,MASCULINO,OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,S,URBANO,TARDE,CALI,SANTANDER,158,23
CE,M,20171,COLOMBIA,SANTANDER,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 5,7 o más,Tres,No,No,No,Si,No,Si,No,No,51 A 100 LIBROS,Nunca,3 a 5 veces por semana,3 a 5 veces por semana,No,No aplica,Igual,30 minutos o menos,Más de 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,RURAL,TARDE,BUCARAMANGA,VALLE,215,21
CC,M,20191,COLOMBIA,CUNDINAMARCA,BOGOTA,Educacion Profesional completa,No aplica,Estrato 3,3 a 4,Cuatro,No,Si,Si,Si,Si,Si,Si,No,51 A 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,1 vez por semana,No,No aplica,Igual,Más de 3 horas,30 minutos o menos,21-40,Si,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,N,URBANO,TARDE,BOGOTA,VALLE,169,20
TI,F,20191,COLOMBIA,ATLANTICO,CALI,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,5 a 6,Dos,Si,No,Si,No,No,Si,Si,Si,51 A 100 LIBROS,1 vez por semana,3 a 5 veces por semana,Nunca,Si,Si,Peor,Entre 1 y 3 horas,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,N,URBANO,NOCHE,BOGOTA,ATLANTICO,233,29
CE,F,20172,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,No aplica,No aplica,Estrato 4,3 a 4,Cuatro,Si,No,Si,No,No,No,Si,Si,0 A 10 LIBROS,1 vez por semana,Nunca,1 vez por semana,No sabe,No sabe,Peor,30 minutos o menos,30 minutos o menos,1-10,Si,COLEGIO MAYOR,MIXTO,NO OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,S,URBANO,TARDE,CALI,CUNDINAMARCA,188,24
CE,M,20171,COLOMBIA,ATLANTICO,MEDELLIN,No aplica,Educacion Profesional incompleta,Estrato 1,7 o más,Cinco,Si,No,No,Si,No,No,No,No,11 A 50 LIBROS,1 vez por semana,Nunca,1 vez por semana,No aplica,No,Mejor,Entre 1 y 3 horas,Más de 3 horas,0,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,B,N,ACADEMICO,SEDE SECUNDARIA,S,URBANO,MANANA,CALI,CUNDINAMARCA,250,28
CE,M,20191,COLOMBIA,ANTIOQUIA,CALI,No aplica,No aplica,Estrato 4,5 a 6,Tres,No,No,No,Si,No,Si,Si,Si,51 A 100 LIBROS,3 a 5 veces por semana,1 vez por semana,Todos o casi todos los dias,No,No aplica,Mejor,Más de 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,B,N,ACADEMICO,SEDE SECUNDARIA,N,RURAL,MANANA,BUCARAMANGA,CUNDINAMARCA,195,17
CE,F,20172,COLOMBIA,CUNDINAMARCA,BOGOTA,No aplica,No aplica,Estrato 2,7 o más,Dos,No,No,Si,Si,No,No,Si,No,MAS DE 100 LIBROS,Nunca,Todos o casi todos los dias,1 vez por semana,No sabe,No aplica,Igual,Más de 3 horas,30 minutos o menos,1-10,No,COLEGIO MAYOR,MIXTO,OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,N,RURAL,MANANA,BUCARAMANGA,VALLE,182,21
TI,M,20192,COLOMBIA,ATLANTICO,BUCARAMANGA,No aplica,No aplica,Estrato 5,3 a 4,Tres,Si,Si,Si,No,No,Si,Si,No,0 A 10 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,1 vez por semana,No,No aplica,Mejor,30 minutos o menos,Más de 3 horas,21-40,Si,COLEGIO MAYOR,MIXTO,OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,MEDELLIN,ANTIOQUIA,324,26
TI,F,20182,COLOMBIA,ATLANTICO,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 4,3 a 4,Cinco,Si,No,No,No,No,No,No,Si,51 A 100 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los dias,Si,Si,Mejor,30 minutos o menos,Más de 3 horas,21-40,No,COLEGIO COMFANDI EL PRADO,MASCULINO,OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,S,URBANO,NOCHE,MEDELLIN,ATLANTICO,285,20
CE,M,20192,COLOMBIA,VALLE,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 5,7 o más,Tres,No,No,Si,Si,No,Si,Si,No,0 A 10 LIBROS,1 vez por semana,3 a 5 veces por semana,Nunca,No aplica,No,Igual,Entre 1 y 3 horas,Más de 3 horas,21-40,Si,COLEGIO MAYOR,FEMENINO,OFICIAL,B,N,ACADEMICO,SEDE PRINCIPAL,S,URBANO,TARDE,CALI,VALLE,174,20
CE,F,20191,COLOMBIA,ANTIOQUIA,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,5 a 6,Cinco,Si,No,No,Si,Si,Si,No,Si,11 A 50 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,Todos o casi todos los dias,No sabe,No sabe,Mejor,Entre 1 y 3 horas,Más de 3 horas,1-10,No,COLEGIO MAYOR,FEMENINO,NO OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,URBANO,MANANA,BUCARAMANGA,SANTANDER,257,23
TI,F,20172,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 6,5 a 6,Tres,Si,Si,No,No,No,No,No,No,0 A 10 LIBROS,Nunca,Todos o casi todos los dias,Nunca,No,No sabe,Peor,Más de 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,TARDE,BUCARAMANGA,VALLE,204,22
TI,M,20191,COLOMBIA,VALLE,BUCARAMANGA,No aplica,Educacion Profesional incompleta,Estrato 6,5 a 6,Cuatro,Si,Si,No,No,No,Si,No,No,MAS DE 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,1 vez por semana,Si,No aplica,Mejor,30 minutos o menos,Más de 3 horas,0,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,S,RURAL,TARDE,CALI,ATLANTICO,311,22
TI,F,20182,COLOMBIA,CUNDINAMARCA,BUCARAMANGA,Educacion Profesional completa,No aplica,Estrato 5,3 a 4,Dos,No,Si,Si,No,No,Si,No,Si,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,3 a 5 veces por semana,No sabe,Si,Igual,Más de 3 horas,Más de 3 horas,21-40,Si,COLEGIO CENTRAL,MIXTO,NO OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,S,RURAL,MANANA,MEDELLIN,VALLE,165,18
CC,M,20181,COLOMBIA,ATLANTICO,MEDELLIN,Educacion Profesional incompleta,No aplica,Estrato 2,7 o más,Dos,Si,No,No,No,No,No,Si,No,51 A 100 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,1 vez por semana,No sabe,Si,Igual,30 minutos o menos,Más de 3 horas,21-40,No,COLEGIO MAYOR,MASCULINO,OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,TARDE,BOGOTA,SANTANDER,343,27
TI,M,20182,COLOMBIA,CUNDINAMARCA,BOGOTA,No aplica,Educacion Profesional completa,Estrato 1,3 a 4,Cinco,No,Si,Si,Si,No,No,No,No,11 A 50 LIBROS,3 a 5 veces por semana,1 vez por semana,3 a 5 veces por semana,No sabe,No aplica,Igual,30 minutos o menos,30 minutos o menos,0,Si,COLEGIO CENTRAL,MIXTO,OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,N,URBANO,TARDE,BARRANQUILLA,VALLE,288,23
CE,M,20191,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional incompleta,No aplica,Estrato 6,7 o más,Tres,No,No,No,No,No,No,No,Si,0 A 10 LIBROS,1 vez por semana,1 vez por semana,Nunca,No,No aplica,Peor,Más de 3 horas,30 minutos o menos,11-20,Si,COLEGIO CENTRAL,MIXTO,OFICIAL,A,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,MANANA,BOGOTA,CUNDINAMARCA,172,18
CC,M,20171,COLOMBIA,ATLANTICO,BUCARAMANGA,No aplica,Educacion Profesional incompleta,Estrato 1,7 o más,Cinco,Si,Si,No,Si,Si,No,Si,Si,MAS DE 100 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los dias,Si,No aplica,Peor,Entre 1 y 3 horas,Más de 3 horas,0,Si,COLEGIO CENTRAL,MIXTO,NO OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,MANANA,BARRANQUILLA,CUNDINAMARCA,349,17
CE,M,20192,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional incompleta,No aplica,Estrato 6,5 a 6,Tres,No,Si,Si,No,Si,No,Si,Si,0 A 10 LIBROS,Todos o casi todos los dias,1 vez por semana,Todos o casi todos los dias,Si,No sabe,Igual,30 minutos o menos,30 minutos o menos,21-40,No,COLEGIO COMFANDI EL PRADO,MASCULINO,OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,N,URBANO,TARDE,BARRANQUILLA,CUNDINAMARCA,312,27
